,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
334050,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,707.877156307,,,General Fund,
217725,BOOKS AND PERIODICALS,SECURITY SERVICES,GENERAL FUND,(blank),,,SAFETY AND SECURITY,,SAFETY & SECURITY,UNDESIGNATED,,191.99,SAFETY AND SECURITY,n/a,,OPERATION AND MAINT OF PLANT
319534,Extra Duty/Overtime,Undistributed,,,,General,Substitute,,Instruction,,,1.26,,,General Fund,
442784,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,31812.030449500002,,,General Fund,
192073,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,5500.1,,,General Fund,
174400,Personal Services - Employees Salaries and Wages,,Support Services - Administration,,,Personal Services - Employees Salaries And Wages,,,Special Education Services - Support Staff*,,,708205.59,,,"IDEA, Part B Special Education, Education of Handicapped Children",IDEA-B 
42118,Employee Allowance,Basic Educational Services,,TRAVEL,,General,School ,,Instruction,,,256.465917555,,,General Fund,
2416,Professional Salaries,Basic Educational Services,, ART,,General,School ,1.0,Instruction,,,52515.1561989,,,General Fund,
98539,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,ITEMGD PRESCHOOL PROGRAM,"Teacher, Super Sub D/D ",,,,0.00215517241379,ELPA - FULL-DAY KINDER,PROFESSIONAL-INSTRUCTIONAL,,82.55334918369999,,Regular,,REGULAR INSTRUCTION
433225,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Pre-K,School ,1.0,Instruction,,,56475.89147380001,,,General Fund,
167295,,High School Allotment,,,,General,School ,,Instruction,,,11676.52,,,General Fund,
38816,Personal Services - Education Assistants,Support - Regular Instruction,,,,,,0.0,,SUBSTITUTE TEACHER,Regular Instructional Support,563.47,,,General Purpose School,
176828,EMPLOYEE BENEFITS,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,Teacher Secondary (Middle) ,,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,1439.09,,Regular,,REGULAR INSTRUCTION
257637,EMPLOYEE BENEFITS,"PLANNING,RESEARCH,DEVELOPMENT",GENERAL FUND,Student Assign Coord ,,,STRATEGY OFFICE,,NON-PROJECT,PROFESSIONAL-OTHER,,392.12,STRATEGY OFFICE,n/a,,CENTRAL
167369,Extra Duty/Signing Bonus Pay,Undistributed,,NATIONAL BOARD,,National Board,Social Studies,,Instructional Leadership,,,2185.15059892,,,General Fund,
195695,Salaries for Support Personnel,Undistributed,,HS'KP SVC SP I,,General,Service Center Housekeeping,1.0,Plant Maintenance & Operations,,,55468.4644638,,,General Fund,
108682,Personal Services - Other Compensation,Instruction - Regular,,,,,,0.0,,Career Ladder I/Ext Learning,Regular Instruction,1167.1,,,General Purpose School,
76914,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,0.5,Instruction,,,14093.655708000002,,,General Fund,
187799,TRAVEL - EMPLOYEES,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,TEACHING AMERICAN HISTORY - DEPT OF EDUC,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,239.8,,,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,
135943,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Regular Instruction,2337.4299,,,General Purpose School,
365367,ADDITIONAL/EXTRA DUTY PAY/STIP,SUPPORT SERVICES-SCHOOL ADMIN,FEDERAL GDPG FUND - FY ,"Principal, Asst High Sch ",,,TEACHER LEARNING & LEADERSHIP,,TEACHER INCENTIVE FUND (TIF),ADMINISTRATOR,,4109.44,TIF GRANT,n/a,,SCHOOL ADMINISTRATION
276633,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,2.12,,Regular,,INSTRUCTIONAL STAFF
321427,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.023706896551700003,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,603.4636615740001,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
424213,Personal Services - Teachers,Instruction - Regular,,TCHER KINDERGARTEN,,,,1.0,,TEACHER,Regular Instruction,41881.06,,,General Purpose School,
163262,General Supplies,Athletics and Related,,,,Girls Wrestling,School ,,Cocurricular & Extra Curricular Activities,,,1700.14,,,Athletics,
175158,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,39689.307,,,Title I- Part A,
40913,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,ENGLISH LANGUAGE LEARNERS,,,0.0,,SUBSTITUTE TEACHER,Race to the Top ,70.61,,,School Federal Projects,RACE TO THE TOP
287759,General Supplies,Basic Educational Services,,,,Tech Ed,School ,,Instruction,,,1925.96,,,General Fund,
145256,,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,4999.41,,,Title I- Part A,
364372,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Short Term Sub ",,,,,CORE MATTERS,PROFESSIONAL-INSTRUCTIONAL,,4.56,,Regular,,INSTRUCTIONAL STAFF
405286,Employee Allowance,Undistributed,,TRAVEL,,General,Performing Arts ,,Instructional Leadership,,,2870.50568947,,,General Fund,
233947,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING, MILL LEVY,"Teacher, Elementary ",,,TEACHER LEARNING & LEADERSHIP,,REVITALIZATION,PROFESSIONAL-INSTRUCTIONAL,,388.15096,INSTRUCTIONAL PROFESSIONAL DEV,n/a,,INSTRUCTIONAL STAFF
28347,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,2072.62,,,General Fund,
66424,Personal Services - Custodians,Operations,,CUSTODIAN,,,,0.5,, CUSTODIAN,Operation of Plant,20990.3056397,,,General Purpose School,
79400,Professional Salaries,Special Education,,LSSP,,General,Special Ed Evaluation Services,1.0,"Guidance, Counseling and Evaluation Services",,,83578.2422157,,,IDEA-B Formula,
347856,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Speech Language Pathologst ,,,SPECIAL EDUCATION,,NON-PROJECT,UNDESIGNATED,,-978.54,,n/a,,EMPLOYEE BENEFITS
59846,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Core Curriculum,,Curriculum & Instructional Staff Development,,,525.120856523,,,General Fund,
79670,PARA PROFESSIONAL             ,,,"TEACHER ASSISTANT, ID         ",,,School ,0.93,EXCEPTIONAL                   ,,,18785.4869106,,,GENERAL FUND                  ,
376168,Misc Operating Expenses,Athletics and Related,,,,Special Olympics,Athletics-External ,,Cocurricular & Extra Curricular Activities,,,5800.12,,,Athletics,
221005,CERTIFICATED EMPLOYEES SALARIES AND WAGES,,Regular Instruction,,,Certificated Employees Salaries And Wages,,,Elementary,,,5346.71,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOLWIDE
367175,PURCH MAINT SRVCS,MAINTENANCE - GROUNDS,CAPITAL RESERVE FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,190.29,MAINTENANCE,Regular,,OPERATION AND MAINT OF PLANT
432132,PURCHASES - EQUIPMENT AND MACHINERY,INSTRUCTIONAL PROGRAMS,LOCAL,,,,,,,"PURCHASED ASSETS, MINOR EQUIP & RENTAL",,999.94,GENERAL EDUCATION,,LOCAL FUND,
282677,Reading Materials including Library Books,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,3500.74,,,Title I- Part A,
362597,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1633.0,,,Nat'l Schl Breakfast & Lunch Prog.,
325939,Professional Salaries,Undistributed,,LIBRARIAN- ELEM,,General,School ,1.0,Instructional Resource & Media Services,,,59850.7335635,,,General Fund,
257504,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,BASIC (FEFP K-12)             ,,,264.85,,,GENERAL FUND                  ,
44871,OTHER PERSONAL SERVICES       ,,,CLERICAL/TCHR ASST SUB        ,,,School ,0.0,BASIC (FEFP K-12)             ,,,48.42,,,GENERAL FUND                  ,
45712,,,LOCAL,Teacher,,,,1.0,,,,86399.30096339999,GENERAL EDUCATION,,,
177296,Reading Materials including Library Books,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,501.02,,,General Fund,
425632,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,Early Childhood Education ,,,ASSESSMENT & RESEARCH,,ELA S - TEACHING SPANISH ONLY,PARAPROFESSIONAL,,24.69496,ASSESSMENT AND RESEARCH,n/a,,INSTRUCTIONAL STAFF
429131,Salaries And Wages For Teachers And Other Professi,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,"TEACHER, BILINGUAL EDUCATION",Instruction And Curriculum,Extended Week,School ,,Instruction,COUNSELOR ELEM/INTERM,,352.842688699,,,Title Iii Part A - Lep,MISCELLANEOUS 
56699,Professional Salaries,Undistributed,,MS ASST PRIN,,General,School ,0.5,School Leadership,,,35907.5800179,,,General Fund,
293497,Professional Salaries,Undistributed,,COUNS- MS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,59841.939855,,,General Fund,
295133,ADDITIONAL/EXTRA DUTY PAY/STIP,"PLANNING,RESEARCH,DEVELOPMENT",DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",,,CHIEF OPERATING OFFICER,,PERFORMANCE MANAGEMENT / DELL,PROFESSIONAL-INSTRUCTIONAL,,353.6548,STRATEGIC PLANNING,n/a,,CENTRAL
350992,Employee Allowance,Undistributed,,TRAVEL,,General,Management Info System,,Data Processing Services,,,2870.90568947,,,General Fund,
29465,SALARIES OF REGULAR EMPLOYEES,CARE & UPKEEP OF BLDG SERVICES,GENERAL FUND,Custodial Helper - Day ,,,,0.8256640751540001,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,22183.7772901,CUSTODIAL-SCHOOLS,Regular,,OPERATION AND MAINT OF PLANT
238283,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,560.31,,,IDEA-B Formula,
209944,Extracurricular Supp,,,EXTRA CURRICULAR SPO,,,,,,,,1972.0842405,,,,
79090,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,NON DEGREED SUBSTITUTE,Basic Educational Services - District Objective ,87.36398706879999,,,General Operating Fund,REGULAR PAY
387212,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,FEDERAL GDPG FUND - FY ,"Teacher, Intervention ",,,,0.0416677475608,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,,3305.84484335,,Regular,,INSTRUCTIONAL STAFF
299983,EMPLOYEE BENEFITS,SPECIAL EDUCATION-OT,FEDERAL GDPG FUND - FY ,Occupational Therapist ,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,PROFESSIONAL-INSTRUCTIONAL,,633.92,,n/a,,SPECIAL EDUCATION
198778,Professional Salaries,Special Education,,T-EL/SE,,General,School ,1.0,Instruction,,,53662.2248864,,,General Fund,
325790,SUPPLIES,PRIMARY GRADES PROGRAM ,PRIMARY GRADES PROGRAM ,,,,,,INSTRUCTION,,,-2275.2,,,General Fund,
246286,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Teacher Secondary (Middle) ,,,,,NON-PROJECT,UNDESIGNATED,,-905.04,,n/a,,EMPLOYEE BENEFITS
281748,BOOKS AND PERIODICALS,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,1008.66,,Alternative,,REGULAR INSTRUCTION
266732,Miscellaneous Contracted Srvcs,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,46066.34,,, Century Community Learning,
36670,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,0.78,Instruction,,,51757.2554587,,,General Fund,
56760,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,CERTIFIED SUBSTITUTE,Basic Educational Services - District Objective ,37733.4301025,,,General Operating Fund,REGULAR PAY
26459,Textbooks ,Undistributed,,,,Early College,Assoc Superintendent-High Schools,,Instruction,,,7452.39,,,General Fund,
31859,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HD COACH,VAR BB",,General,School ,,Cocurricular & Extra Curricular Activities,,,7253.85851524,,,Athletics,
228239,Contracted Food Services,,Community Services,,,Contracted Craft Or Trade Services *,,,Other Community Services *,,,-0.13,,,Title I - Disadvantaged Children/Targeted Assistance,PI-PUBLIC
200284,CLASSROOM TEACHER             ,,,"TEACHER, THIRD                ",,,School ,1.0,BASIC (FEFP K-12)             ,,,47680.2410867,,,GENERAL FUND                  ,
254985,Extra Duty/Overtime,Undistributed,,,,General,School ,,Security & Monitoring Servicess,,,6128.5275106200015,,,General Fund,
292638,EMPLOYER PD MED CONTRIBUTION,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Secondary (High) ",,,,,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,503.43,,Regular,,REGULAR INSTRUCTION
343944,Student Workers,,Sport Oriented Activities,,,Other Wages And Salaries *,,,Mixed Sports *,,,7382.717920000001,,,General,EXTRACURRICULAR ACTIVITY
121028,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,33905.701812299994,,,General Fund,
87096,Professional Services,Accelerated Education,,,,General,"School, Family and Community Education",,Social Work Services,,,101992.53,,,General Fund,
337586,Employee Travel  (including In-District and Out-of-District),Athletics and Related,,,,General,Athletics-External ,,Cocurricular & Extra Curricular Activities,,,20000.84,,,Athletics,
100286,"Water,Wastewater, Sanitation",Undistributed,,,,General,Food Service,,Plant Maintenance & Operations,,,51424.6,,,Nat'l Schl Breakfast & Lunch Prog.,
9358,General Supplies,Basic Educational Services,,,,Orchestra,School ,,Instruction,,,781.01,,,General Fund,
159880,Employee Allowance,Special Education,,TRAVEL,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,1464.55314291,,,General Fund,
87447,EMPLOYEE BENEFITS,LITERACY COACHES,FEDERAL GDPG FUND - FY ,"Tchr Admin Asst, Elem Sch ",,,,,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,,234.47,,Regular,,INSTRUCTIONAL STAFF
413613,Extra Duty/Overtime,Special Education,,,,Extended Sick Leave,Transportation Office,,Student Transportation,,,0.49,,,General Fund,
15667,EMPLOYEE BENEFITS,SPECIAL EDUCATION-S/L,GENERAL FUND,Speech Language Pathologst ,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,PROFESSIONAL-INSTRUCTIONAL,,1005.77,SPEECH & LANGUAGE,n/a,,SPECIAL EDUCATION
369591,Extra Duty/Signing Bonus Pay,Athletics and Related,,GOLF COACH,,General,School ,,Cocurricular & Extra Curricular Activities,,,865.417831715,,,Athletics,
16651,Professional Salaries,Undistributed,,ADM SUP- SCI/HL,,General,Science and Health,1.0,Instructional Leadership,,,89151.80242080001,,,General Fund,
409186,CLASSROOM TEACHER             ,,,"TEACHER, FIFTH                ",,,CHARTER,1.0,BASIC (FEFP K-12)             ,,,48136.4510867,,,CONVERSION CHARTER SCHOOLS    ,
224822,SUPPLIES,PRIMARY GRADES PROGRAM ,PRIMARY GRADES PROGRAM ,,,,,,INSTRUCTION,,,391.66,,,General Fund,
43110,Salaries for Support Personnel,Undistributed,,ADMIN ASST II,,General,School ,1.0,School Leadership,,,45090.4322537,,,General Fund,
429308,EMPLOYEE BENEFITS,EARLY CHILDHOOD,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",,,,,HEAD START,PROFESSIONAL-INSTRUCTIONAL,,926.5,EARLY EDUCATION,Regular,,REGULAR INSTRUCTION
109122,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,School Leadership,,,4499.34,,,Title I- Part A,
430794,SUPPLIES,"ARRA - IDEA Title VI,B Flow Thru funds",TITLE VIB FLOWTHRU ARRA OF ,,,,ADMIN. SERVICES,,PUPIL SERVICES,,,13.52,,,Special Education,
448681,Professional Salaries,Basic Educational Services,, P.E.,,General,School ,1.0,Instruction,,,55553.05745650001,,,General Fund,
67676,Salaries for Support Personnel,Undistributed,,CLERK IV- SCH,,General,School ,1.0,School Leadership,,,31732.800689999996,,,General Fund,
114221,SUPPLIES,PRIMARY GRADES PROGRAM ,PRIMARY GRADES PROGRAM ,,,,,,INSTRUCTION,,,1600.61,,,General Fund,
228491,Professional Salaries,State Comp.Ed.-Support Title I Campuses,, MATH,,General,School ,1.0,Instruction,,,55082.7477157,,,Title I- Part A,
357739,Extra Duty/Overtime,Undistributed,,,,General,School ,,Food Services,,,9269.112,,,Nat'l Schl Breakfast & Lunch Prog.,
8134,Equipment Maintenance Repairs,Undistributed,,,,General,School ,,Food Services,,,1809.09,,,Nat'l Schl Breakfast & Lunch Prog.,
75234,,UPPER ELEMENTARY GRADES PROGRAM ,,Teacher-Elementary ,,,,1.0,,4TH GRADE ,,74221.95999999999,,,General Fund,
111853,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND,"Teacher, Elementary ",,,ENGLISH FOR SPEAKERS OF OTHER,,TITLE III  ELA,PROFESSIONAL-INSTRUCTIONAL,,75.30184000000001,,n/a,,INSTRUCTIONAL STAFF
364725,Extra Duty/Overtime,Undistributed,,,,General,Human Resources,,General Administration,,,43696.35804360001,,,General Fund,
170022,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Operations,"TEACHER, REGULAR",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.66,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective ,53415.832773199996,,,General Operating Fund,REGULAR PAY
213660,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,0.13,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
425084,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.004310344827590001,CORE MATTERS,PROFESSIONAL-INSTRUCTIONAL,,110.27793846799999,,Turnaround,,INSTRUCTIONAL STAFF
280423,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,General,School ,,Curriculum & Instructional Staff Development,,,1294.56586454,,,General Fund,
148296,EMPLOYEE BENEFITS,UNDESIGNATED,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,UNDESIGNATED,,76.61,,n/a,,UNDESIGNATED
231340,Professional Salaries,Basic Educational Services,,T-HS THEAT/DRAM,,General,School ,1.0,Instruction,,,52963.508904,,,General Fund,
156058,Professional Salaries,Basic Educational Services,,T-EL 1ST,,General,School ,1.0,Instruction,,,54203.0693412,,,General Fund,
365278,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Bus Driver  to  Yrs ,,,,,NON-PROJECT,UNDESIGNATED,,-29.75,,n/a,,EMPLOYEE BENEFITS
39531,Professional Salaries,Prekindergarten,,T-EL PK ESL,,Pre-K,School ,1.0,Instruction,,,58928.5095462,,,General Fund,
307712,Salaries And Wages For Substitute Professionals,PRE-K,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,TEACHER BACHELOR,,161.597864739,,,General Operating Fund,REGULAR PAY
71537,EMPLOYEE BENEFITS,STAFF SERVICES,GENERAL FUND,"Teacher, Intervention ",,,PERSONNEL-PAID LEAVE,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,,UNASSIGNED PERS/PAID LEAVES,n/a,,CENTRAL
166301,General Supplies,Basic Educational Services,,,,Band,School ,,Instruction,,,13439.52,,,General Fund,
214284,Miscellaneous Contracted Srvcs,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,4999.73,,,Title I- Part A,
17252,Employee Allowances,Undistributed,Operations,ADMINISTRATOR,Special Programs,Travel Allowances,Administration - No Description Provided,,General Administration,DIRECTOR,,660.6128416319999,,,General Operating Fund,TRAVEL
395942,Personal Services - Teachers,Instruction - Regular,,TCHER HEALTH (GR   ,,,,1.0,,TEACHER,Regular Instruction,59411.72,,,General Purpose School,
