,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
116542,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Health Services,,,NURSE (SCHOOL),,Health Services,,District Wide Resources,1.0,,HEALTH SERVICES,SCHOOL NURSE,35745.96,Principal's Office,General Purpose School,
116868,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,LEADERSHIP DEVELOPMENT,,NON-PROJECT,,UNDESIGNATED,-76.31,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
116895,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TEACHER, VOCATIONAL EDUCATION",,transportation - aides,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,Transportation Department,BUS DRIVER,8189.38151338,Undistributed,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
117522,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education ,Regular,,,,,ELPA - PRESCHOOL PROG,,PARAPROFESSIONAL,198.53,EARLY CHILDHOOD,,REGULAR INSTRUCTION
118144,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TRANSPORTATION,GENERAL FUND,Bus Driver  to  Yrs ,n/a,,,GARAGE,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",454.92056,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
118811,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"School Counselor, High Sch ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,987.92,GUIDANCE SERVICES,,STUDENTS
119050,Professional Development,ISPD,Shared Services,Non-School,Unspecified,TA,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,TEACHER ASSISTANT-ELEM        ,,,,STAFF DEV AND INSTR MEDIA     ,,STAFF SERVICES                ,,,59.540000000000006,,GENERAL FUND                  ,
119916,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,"Dir, Special Education ",n/a,,,SPECIAL EDUCATION,0.487242675793,TITLE VI-IDEA B-MAIN,,ADMINISTRATOR,67698.2743239,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
120181,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"M.O.C.MAINT., TEMPORARY",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Facilities Maintenance And Operations,,MO CAMPBELL OPTIONAL PAY,53.6,Undistributed,General Operating Fund,GAME WORK
121101,Other Compensation,Instruction,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,Transportation Department,BUS DRIVER,65.75999999999999,Undistributed,General Operating Fund,FIELD TRIPS
121517,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher,Spec Ed Center Prg ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,1025.14,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
121648,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,PSYCHOLOGICAL SERVICES,GENERAL FUND,Social Worker ,n/a,,,SOCIAL WORK SERVICES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,691.0068,SOCIAL WORK SERVICES,,STUDENTS
122365,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Other Awards and Prizes,,Support Services - Instructional Staff,,,,Awards And Prizes *,,,Instruction And Curriculum Development Services *,,,-58827.42,,Special Trust,AOB  YEAR 
122645,Communications,Leadership,Leadership & Management,Non-School,ELL,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,MULTILINGUAL OUTREACH,FEDERAL GDPG FUND - FY ,ELA Reading & Writing Para ,n/a,,,MULTILINGUAL OUTREACH,0.0390625,TITLE III  ELA,,OFFICE/ADMINISTRATIVE SUPPORT,774.4721887080002,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
123635,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,,General Supplies,School ,,Extracurricular Activities,,,999.98,Undistributed,Campus Activity Funds,
123666,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Student Success Initiative Grant,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,104.22788769,Basic Educational Services,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
123884,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,Non PreK,PreK-12 Operating,Group Health And Life Insurance,,Operations,,,Basic Educational Services - District Objective ,Group Health And Life Insurance,Undistributed,,Instruction,Campus Overtime,TEACHER BACHELOR,329.71,Basic Educational Services,General Operating Fund,EMPLOYER MEDICAL FRINGE
123999,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,INSTRUCTIONAL MEDIA SERVICES  ,,,65.91,,GENERAL FUND                  ,
124415,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,ITEMGG-CUSTOMER RELATIONS MGMT,GENERAL FUND,"Specialist III, PC App ",n/a,,,CUSTOMER RELATIONS MANAGEMENT,,NON-PROJECT,,PROFESSIONAL-OTHER,1398.0167199999999,INFORMATION SYSTEMS SERVICES,,CENTRAL
124468,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - EMPLOYEES,,TEACHING AMERICAN HISTORY - DEPT OF EDUC,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,122.72,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,
125733,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES      ,,,,,,,School ,,BASIC (FEFP K-12)             ,COPY CENTER                   ,,29056.48,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
126227,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Bus Driver Less than  Yr ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-9.36,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
126404,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Health Services,,,THERAPIST PHYSICAL,,Special Education Support,,District Wide Resources,1.0,,HEALTH SERVICES,THERAPISTS,81768.8547117,Principal's Office,General Purpose School,
126810,Teacher Compensation,Instruction,School Reported,School,Gifted,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,GIFTED AND TALENTED TEACHERS,,,Salaries And Wages For Teachers And Other Professi,School ,0.14,Instruction,All Campus Payroll,TEACHER BACHELOR,7915.99601231,Gifted And Talented,General Operating Fund,REGULAR PAY
126825,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER SPEC ED (CDC-MIDDLE),,Regular Instruction,,District Wide Resources,0.0,,,RETIREE TIMECARD,842.7099000000002,Instruction - Regular,General Purpose School,
126988,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,LOCAL GRANTS ADMINISTRATION,FEDERAL GRANTS,"Specialist, Grant",,,,OFFICE OF FEDERAL PROGRAM & GRANTS,1.0,,,,86523.5483042,,,
127226,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0.0,,,SUBSTITUTE TEACHER,35.889118702800005,Instruction - Regular,General Purpose School,
127540,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,Non PreK,PreK-12 Operating,Utilities - Water and Waste Water,,,,,,,,0.0,,,,13705.76,Operations,General Purpose School,
127572,"Finance, Budget, Purchasing & Distribution",Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Sr. Financial Analyst ,n/a,,,BUDGETARY SERVICES,,NON-PROJECT,,UNDESIGNATED,-110.65,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
127703,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Club Advisor/Coach,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,ATHLETICS,DISTRICT SPECIAL REVENUE FUNDS,Coach ,n/a,,,MIDDLE SCHOOL EDUCATION,,PREP LEAGUE,,PROFESSIONAL-INSTRUCTIONAL,10.25,MALE ATHLETICS/SPORTS ACTIVITI,,COCURRICULAR ED/ACTIVITIES
127731,Career & Academic Counseling,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Guidance Counselor,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"School Counselor, High Sch ",n/a,,,SECONDARY PATHWAYS,,NON-PROJECT,,UNDESIGNATED,-461.12,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
127937,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary ",Regular,,,,,ELPA - PRESCHOOL PROG,,PROFESSIONAL-INSTRUCTIONAL,515.77,EARLY CHILDHOOD,,REGULAR INSTRUCTION
128005,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,,,,,,,,,,,,,6384.63,,,
128164,Professional Development,ISPD,School Reported,School,At Risk,Instructional Coach,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,ACADEMIC SPECIALIST,,,Allotment Supplement (Career Ladder) Supplement,School ,0.02,Instruction,All Campus Payroll,TEACHER BACHELOR,1224.51084287,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
128345,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Manager, Facility I ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-44.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
128752,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ATHLETIC SUPPLEMENTS          ,,,COACHING SUPPLEMENT PAY       ,,,,School ,,BASIC (FEFP K-12)             ,,,590.96,,GENERAL FUND                  ,
128991,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Manager, Food Service II ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,397.7000000000001,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
129104,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"WAREHOUSEMEN,CENTRAL RECEIVING",,,Salaries Or Wages For Support Personnel,Undistributed,1.0,Facilities Maintenance And Operations,Warehousing,WAREHOUSE SUPER ,37172.218518699985,Undistributed,General Operating Fund,REGULAR PAY
129256,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",SALARIES OF PART TIME EMPLOYEE,ADULT VOC ED OPPORTUNITY,ARRA - STIMULUS,"OPP Teacher, Eve ",Alternative,,,OPPORTUNITY SCHOOL,0.107219827586,ARRA EDUCATION STABILITAZION,,PROFESSIONAL-INSTRUCTIONAL,6044.62800449,ITEMGB - APPRENTICESHIPS,,EDUCATION FOR ADULTS
129469,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,"Supt, Instructional ",n/a,,,ES TEAM ,,NON-PROJECT,,ADMINISTRATOR,10891.16584,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
129801,Aides Compensation,Instruction,School Reported,School,Alternative,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,EDUCATIONAL ASST (CDC/HIGH),,Alternative Schools Instruction,,,1.0,,,ED ASST  - SEC SELF CONTAINED,18292.4864003,Instruction - Regular,General Purpose School,
130295,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,SFPC Liaison Specialist ,n/a,,,MULTILINGUAL OUTREACH,,NON-PROJECT,,UNDESIGNATED,-77.53999999999998,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
131257,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.00862068965517,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,257.82996985000005,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
131281,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SKILLS SPECIALIST,,Undistributed,Extra Duty Wages,Undistributed,,Curriculum Development And Instructional Staff Dev,Instruction and Curriculum,TEACHER BACHELOR,26.84262496,Undistributed,General Operating Fund,MISCELLANEOUS 
131502,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Transportation Department,BUS DRIVER,36.42,Undistributed,General Operating Fund,WAITING TIME
132345,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"School Counselor, High Sch ",Regular,,,,1.0000273766,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,81865.6419114,GUIDANCE SERVICES,,STUDENTS
132533,Career & Academic Counseling,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Guidance Counselor,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,STATE AND LOCAL GDPG FUND,"School Counselor, Elem Sch ",n/a,,,SECONDARY PATHWAYS,,SCHOOL COUNSELOR CORP,,PROFESSIONAL-INSTRUCTIONAL,980.02,GENERAL POST-SECONDARY ED,,OTHER EDUCATION
132627,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Clinic Assistant,,,,,1.0,,,CLINIC ASSISTANT ,34177.896458300005,NURSES,General Fund,
132806,Food Services,O&M,Shared Services,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,FOOD SERVICES,SHARED VENDING,"Supv, Food Vending Svcs ",n/a,,,FOOD AND NUTRITION SERVICES,,NON-PROJECT,,PROFESSIONAL-OTHER,503.37,FOOD SERVICE DIRECTION,,FOOD SERVICES OPERATIONS
132933,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Occupational Therapist ,n/a,,,SPECIAL EDUCATION,,NON-PROJECT,,UNDESIGNATED,-154.71,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
133581,Curriculum Development,ISPD,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Other Awards and Prizes,,Support Services - Instructional Staff,,,,Awards And Prizes *,,,Instruction And Curriculum Development Services *,,,-599.34,,Special Trust,LEARNING FIRST
134004,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,LEVY OVERRIDE,"Facilitator,Sec Humanities ",Regular,,,,,FACILITATOR,,PROFESSIONAL-INSTRUCTIONAL,1765.30728,LITERACY COACHES,,INSTRUCTIONAL STAFF
134504,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,KINDERGARTEN INTERVENTION TA,,Regular Instruction,,,1.0,,,TEACHER,18632.86481,Instruction - Regular,General Purpose School,
134672,Instructional Materials & Supplies,Instruction,School Reported,School,Gifted,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES                      ,,,"TEACHER, GIFTED               ",,,,School ,,EXCEPTIONAL                   ,,,183.58,,GENERAL FUND                  ,TEACHER LEAD                  
134770,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,MAJOR RENOVATIONS,BOND EXPENDITURES,BUILDING FUND,(blank),Regular,,,,,FA/S-MECH  GOB,,UNDESIGNATED,141057.5,BUILDING IMPROVEMENT SERVICES,,BUILDING IMPROVEMENT SERVICES
135678,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0.0,,,CCOACH CERT TCHRACCT,2829.71,Instruction - Regular,General Purpose School,
135781,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,BASIC (FEFP K-12)             ,,,77.11,,GENERAL FUND                  ,
135873,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Tutor Interpreter ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-850.57,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
136464,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,PROFESSIONAL-INSTRUCTIONAL,0.11,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
136879,Professional Development,ISPD,Shared Services,Non-School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL PROFESSIONAL DEV, MILL LEVY,"Teacher, Elementary ",n/a,,,SPECIAL EDUCATION,0.0,REVITALIZATION,,PROFESSIONAL-INSTRUCTIONAL,0.09,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
137360,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",BONUSES                       ,,,TEACHER ASSISTANT-PK EARLY INT,,,,CHARTER,,PREKINDERGARTEN               ,,,,,CONVERSION CHARTER SCHOOLS    ,
137764,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,"Teacher,Spec Ed Center Prg ",Regular,,,,,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,548.03,,,SPECIAL EDUCATION
